City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Shimoda,JP,1683487540,34.6667,138.95,100,96,64.11,28.07
Dunedin,NZ,1683487444,-45.8742,170.5036,100,86,53.8,3.31
Lloydminster,CA,1683487540,53.2835,-110.0016,100,41,59.22,25.32
Tangalle,LK,1683487541,6.024,80.7911,100,86,78.35,10.07
Zaozërsk,RU,1683487541,69.4005,32.4476,96,89,33.84,11.81
Ouésso,CG,1683487541,1.6136,16.0517,76,97,71.44,3.04
Hamilton,US,1683487472,39.1834,-84.5333,0,74,76.24,11.5
La Carlota,PH,1683487541,10.4233,122.9208,19,81,80.04,2.48
Kambove,CD,1683487541,-10.8764,26.5969,0,73,58.01,2.93
Tevriz,RU,1683487541,57.509,72.4042,100,30,67.1,11.83
Antón Lizardo,MX,1683487541,19.05,-95.9833,19,71,89.82,9.33
Lucerne Valley,US,1683487541,34.4439,-116.9678,9,36,68.7,8.21
Opuwo,NA,1683487542,-18.0607,13.84,28,29,73.0,6.15
Galich,RU,1683487542,58.3797,42.3475,8,69,31.3,5.12
Oyem,GA,1683487542,1.5995,11.5793,100,98,69.46,0.85
Tanguiéta,BJ,1683487542,10.6212,1.2665,100,53,83.59,7.58
San José del Cabo,MX,1683487542,23.0589,-109.6977,40,33,96.08,8.01
Labuan,MY,1683487478,5.2767,115.2417,40,94,75.56,0.0
Lebu,CL,1683487542,-37.6167,-73.65,92,70,56.66,14.09
Rosetta,EG,1683487542,31.4044,30.4164,7,78,63.91,8.9
Caxito,AO,1683487543,-8.5785,13.6643,70,93,76.91,2.93
Nova Sintra,CV,1683487543,14.8667,-24.7167,0,77,68.65,19.69
Nelson Bay,AU,1683487543,-32.7167,152.15,56,66,52.0,23.0
Hinesville,US,1683487543,31.8469,-81.5959,75,61,82.58,6.91
Noosa,AU,1683487543,-26.3833,153.15,0,39,55.11,17.65
Aasiaat,GL,1683487543,68.7098,-52.8699,56,86,31.59,5.82
Stanley,GB,1683487543,54.868,-1.6985,40,87,58.53,3.44
Vernal,US,1683487543,40.4555,-109.5287,75,31,59.65,5.99
Mokhsogollokh,RU,1683487544,61.4681,128.9203,99,82,24.04,8.21
Launceston,AU,1683487544,-41.45,147.1667,12,89,33.15,4.61
Sauðarkrokur,IS,1683487544,65.7461,-19.6394,100,76,51.44,2.04
Vila Velha,BR,1683487544,-20.3297,-40.2925,40,79,80.55,11.5
Fort St. John,CA,1683487544,56.2499,-120.8529,75,34,62.49,14.97
Anār Darah,AF,1683487544,32.7587,61.654,0,23,68.23,7.07
Palmer,US,1683487434,42.1584,-72.3287,40,26,77.92,11.5
Leava,WF,1683487544,-14.3,-178.1667,83,76,82.62,7.25
Vila Franca do Campo,PT,1683487470,37.7167,-25.4333,100,87,66.61,13.67
Kizil-Arvat,TM,1683487545,38.9764,56.2757,93,26,71.71,17.25
Nanuque,BR,1683487545,-17.8392,-40.3539,69,62,80.42,7.94
Kavaratti,IN,1683487545,10.5669,72.642,96,70,84.25,13.33
Tambura,SS,1683487545,5.6,27.4667,100,64,77.4,1.41
Andergrove,AU,1683487545,-21.0833,149.1833,17,66,63.64,19.69
San Antonio de Palé,GQ,1683487545,-1.4014,5.6325,65,79,82.31,6.89
Miðvágur,FO,1683487546,62.0511,-7.1939,100,93,49.03,10.36
Zouérat,MR,1683487546,22.7187,-12.4521,0,14,88.38,11.18
Punta Arenas,CL,1683487396,-53.15,-70.9167,0,62,53.71,9.22
Akureyri,IS,1683487491,65.6835,-18.0878,40,54,57.13,11.5
Nueva Palmira,UY,1683487546,-33.8833,-58.4167,93,56,68.47,8.48
Mossendjo,CG,1683487546,-2.9506,12.7261,99,96,72.95,2.86
Kassiri,SL,1683487519,8.9372,-13.1244,81,74,82.6,9.44
Gonzalez,US,1683487445,30.5816,-87.2914,75,73,84.85,16.11
Hithadhoo,MV,1683487274,-0.6,73.0833,19,75,82.58,14.07
Hermanus,ZA,1683487547,-34.4187,19.2345,31,80,59.81,8.77
Turan,VN,1683487547,16.0678,108.2208,20,70,84.18,4.61
Warmbad,NA,1683487547,-28.45,18.7333,0,26,60.75,4.14
Ha'il,SA,1683487347,27.5219,41.6907,0,19,78.82,4.61
Haiku-Pauwela,US,1683487547,20.9219,-156.3051,20,58,78.82,20.71
Katabu,ID,1683487547,-4.9333,122.5167,100,96,75.99,5.32
Nuuk,GL,1683487265,64.1835,-51.7216,75,80,36.21,5.75
Kaihua,CN,1683487547,23.3687,104.28,100,94,65.44,3.13
Poletayevo,RU,1683487547,55.0336,61.1138,100,43,47.79,11.88
Saint-Philippe,RE,1683487548,-21.3585,55.7679,100,83,76.59,11.25
Rio Grande,BR,1683487548,-32.035,-52.0986,100,99,69.91,4.14
Salta,AR,1683487548,-24.7859,-65.4117,0,48,73.99,3.0
Kerikeri,NZ,1683487548,-35.2268,173.9474,84,96,64.6,11.74
Gallup,US,1683487548,35.5281,-108.7426,0,19,66.04,17.27
Taroa,MH,1683487272,8.7058,171.2275,23,82,81.37,16.67
Navojoa,MX,1683487507,27.1,-109.4333,5,14,94.01,4.0
New Norfolk,AU,1683487548,-42.7826,147.0587,91,74,40.5,1.99
Ar Ruseris,SD,1683487548,11.8659,34.3869,90,27,96.03,6.85
Iskateley,RU,1683487549,67.6803,53.1512,15,93,18.57,10.11
Changyŏn,KP,1683487549,38.2508,125.0961,18,65,49.96,4.16
Ascención,MX,1683487549,31.1,-107.9833,0,8,79.18,6.89
Carnarvon,AU,1683487549,-24.8667,113.6333,37,66,71.55,19.01
Sar-e Pul,AF,1683487549,35.8333,66.1667,61,67,48.07,1.45
Nova Viçosa,BR,1683487549,-17.8919,-39.3719,4,73,79.0,10.2
Lashio,MM,1683487525,22.9333,97.75,4,55,70.02,1.86
Alofi,NU,1683487549,-19.0595,-169.9187,3,100,71.49,1.14
Owase,JP,1683487549,34.0667,136.2,100,97,65.53,5.57
Zalesovo,RU,1683487550,53.9939,84.7431,5,52,56.7,3.27
George Town,MY,1683486830,5.4112,100.3354,20,94,80.53,0.0
Mugia,ES,1683487550,43.1041,-9.2179,17,74,65.16,2.75
Uliastai,MN,1683487272,47.7417,96.8444,88,78,38.86,2.98
Pampa,US,1683487390,35.5362,-100.9599,0,12,91.44,23.02
São José da Coroa Grande,BR,1683487550,-8.8978,-35.1478,31,74,81.14,10.45
Sosnovyy Bor,RU,1683487550,59.9,29.1167,32,69,38.01,8.68
Bijie,CN,1683487550,27.3125,105.2942,100,92,56.03,3.31
Uturoa,PF,1683487550,-16.7333,-151.4333,41,78,81.82,13.82
Kulhudhuffushi,MV,1683487551,6.6221,73.07,99,71,84.72,13.38
Tvøroyri,FO,1683487551,61.5556,-6.8111,100,96,47.41,16.78
Iwanai,JP,1683487551,42.9744,140.5089,100,90,43.68,3.2
Sokoni,TZ,1683487551,-6.4333,39.55,52,78,80.46,15.57
Tinaan,PH,1683487551,11.2667,123.75,57,73,84.18,5.12
Nombre de Dios,MX,1683487551,23.85,-104.2333,82,22,76.55,18.99
San Patricio,US,1683487551,28.017,-97.5169,100,52,87.75,18.66
San Luis de la Loma,MX,1683487551,17.2706,-100.8939,29,45,91.58,8.52
Yuzhno-Kurilsk,RU,1683487552,44.0306,145.8556,100,78,37.8,4.14
Piedmont,US,1683487552,37.8244,-122.2316,40,61,66.72,5.99
Turtas,RU,1683487552,58.9417,69.1325,96,69,48.79,11.32
Elliot,ZA,1683487552,-31.3333,27.85,100,96,50.95,3.24
Mandaguaçu,BR,1683487552,-23.3472,-52.0953,20,65,80.2,6.91
Usinsk,RU,1683487552,65.9939,57.5281,100,94,19.74,18.72
Yuxia,CN,1683487552,34.0615,108.6291,100,96,54.21,1.03
Richards Bay,ZA,1683487552,-28.783,32.0377,96,81,70.92,6.06
Mālvan,IN,1683487552,16.0667,73.4667,60,74,82.56,7.49
Bako,ET,1683487553,5.7833,36.5667,100,89,63.9,5.35
Okhotsk,RU,1683487553,59.3833,143.3,39,88,31.93,4.65
Bathsheba,BB,1683487553,13.2167,-59.5167,17,72,82.8,14.83
Saipan,MP,1683487553,15.1355,145.701,40,100,79.65,8.05
Nemuro,JP,1683487553,43.3236,145.575,100,82,37.44,8.52
Aleksandrovsk-Sakhalinskiy,RU,1683487553,50.8975,142.1561,100,70,36.48,4.92
Tabas,IR,1683487484,33.5959,56.9244,0,13,79.12,4.05
Baoqing,CN,1683487553,46.3317,132.2111,1,39,48.83,6.96
Gołdap,PL,1683487554,54.3063,22.3036,10,68,41.4,7.45
El Idrissia,DZ,1683487554,34.4454,2.5275,0,38,64.45,11.9
Taghazout,MA,1683487554,30.5426,-9.7112,0,56,75.97,2.37
Laghouat,DZ,1683487554,33.8,2.8651,0,29,73.58,23.31
Horta,PT,1683487554,38.5333,-28.6333,75,96,65.01,25.99
Kapaa,US,1683487554,22.0752,-159.319,75,70,78.78,18.41
Motygino,RU,1683487554,58.1831,94.7592,14,73,44.38,1.83
Castillos,UY,1683487555,-34.1667,-53.8333,100,66,67.44,7.65
Toliara,MG,1683487555,-23.35,43.6667,67,74,74.07,6.24
Yarmouth,US,1683487555,41.7057,-70.2286,0,39,78.15,17.27
Ancud,CL,1683487555,-41.8697,-73.8203,78,73,51.01,3.6
Itoman,JP,1683487555,26.1247,127.6694,75,83,71.62,17.27
Verāval,IN,1683487555,20.9,70.3667,23,75,81.82,12.41
Machico,PT,1683487539,32.7,-16.7667,20,73,72.72,20.71
Pasni,PK,1683487555,25.2631,63.471,0,66,83.25,10.33
Tucumã,BR,1683487391,-0.1833,-50.05,62,65,86.04,7.29
Harrisburg,US,1683487448,40.2737,-76.8844,100,61,74.21,3.44
Brisas de Zicatela,MX,1683487500,15.8369,-97.0419,40,66,90.12,6.91
Barranca,PE,1683487556,-10.75,-77.7667,70,74,75.09,10.83
Vilyuysk,RU,1683487556,63.7553,121.6247,73,98,9.79,3.36
Lynchburg,US,1683487312,37.4138,-79.1423,100,79,77.14,3.44
Hartford,US,1683487266,41.7668,-72.7662,0,30,78.82,5.75
Usogorsk,RU,1683487556,63.4106,48.6872,55,79,26.11,8.75
Rongelap,MH,1683487556,11.1635,166.8941,88,76,81.19,18.7
Taraz,KZ,1683487556,42.9,71.3667,1,49,48.61,4.47
Gufeng,CN,1683487557,26.9083,118.9819,100,99,60.04,1.92
Sanctuary Point,AU,1683487557,-35.1114,150.629,98,62,51.21,25.9
Cole Harbour,CA,1683487557,44.6724,-63.4751,8,47,61.18,26.46
Susuman,RU,1683487557,62.7833,148.1667,16,89,21.72,1.79
Zimmerman,US,1683487557,45.4433,-93.59,0,50,75.74,6.91
Kapuskasing,CA,1683487557,49.4169,-82.4331,20,34,62.69,10.36
River Cess,LR,1683487557,5.46,-9.5828,100,76,82.71,5.93
Tokār,SD,1683487557,18.4254,37.729,3,61,81.99,9.31
Trumbull,US,1683487558,41.3167,-80.7665,75,70,69.1,9.22
Arraial do Cabo,BR,1683487558,-22.9661,-42.0278,75,73,78.66,14.97
Banjarmasin,ID,1683487558,-3.3244,114.591,100,95,78.94,1.7
Lā‘ie,US,1683487531,21.6477,-157.9253,82,69,80.56,10.0
Argos,GR,1683487558,37.6333,22.7333,3,65,64.78,1.48
North Perth,CA,1683487558,43.7251,-80.9672,100,87,55.74,8.72
Sterling,US,1683487279,39.0062,-77.4286,100,61,74.7,5.99
As Sulayyil,SA,1683487558,20.4607,45.5779,59,13,89.85,9.17
Dayr az Zawr,SY,1683487558,35.3359,40.1408,1,37,73.42,10.42
Muisne,EC,1683487558,0.6,-80.0333,96,78,83.57,8.34
Juneau,US,1683487301,58.3019,-134.4197,100,82,51.22,3.44
Puerto Lempira,HN,1683487559,15.2667,-83.7667,75,70,87.94,11.5
Klyuchi,RU,1683487559,52.2667,79.1667,0,33,63.03,4.76
Anna Regina,GY,1683487559,7.2644,-58.5077,25,71,83.25,8.57
Saint-Leu,RE,1683487559,-21.15,55.2833,100,90,76.06,2.77
Kristiansund,NO,1683487559,63.1115,7.732,0,57,55.45,9.22
Ingeniero Jacobacci,AR,1683487559,-41.3427,-69.5448,0,31,54.45,9.8
Ristiina,FI,1683487559,61.5058,27.2464,74,59,44.71,5.39
Ivdel',RU,1683487559,60.6911,60.4206,90,69,34.52,9.15
Acaraú,BR,1683487560,-2.8856,-40.12,69,73,83.97,11.59
Byala Slatina,BG,1683487560,43.4667,23.9333,19,72,64.0,6.6
Arkhangelsk,RU,1683487560,64.5401,40.5433,21,96,29.41,4.56
Wakkanai,JP,1683487560,45.4094,141.6739,100,54,43.05,6.93
Kisvárda,HU,1683487560,48.2167,22.0833,96,74,46.44,21.54
Bārah,SD,1683487560,13.7,30.3667,100,10,89.51,10.02
Mbanza-Ngungu,CD,1683487560,-5.25,14.8667,100,88,72.7,1.43
Prien,US,1683487560,30.1819,-93.2738,75,83,80.62,11.5
Nueva Concepción,GT,1683487561,14.2,-91.3,32,34,100.33,11.3
Camayenne,GN,1683487277,9.535,-13.6878,20,74,86.09,9.22
La Sarre,CA,1683487561,48.8002,-79.1996,85,36,60.67,11.07
North Bend,US,1683486780,43.4065,-124.2243,100,63,59.23,11.5
Bertoua,CM,1683487561,4.5833,13.6833,100,93,68.16,0.51
Palikir,FM,1683487561,6.9248,158.1611,100,94,75.94,0.0
Eyl,SO,1683487482,7.9803,49.8164,100,76,84.36,12.95
Palpalá,AR,1683487561,-24.2565,-65.2116,0,46,69.03,3.44
Portland,US,1683487150,45.5234,-122.6762,100,59,61.0,6.91
St. John's,CA,1683487562,47.5649,-52.7093,75,55,52.29,21.85
Danilovka,RU,1683487562,50.3557,44.1168,100,49,47.5,13.73
Kayar,SN,1683487562,14.9192,-17.1211,100,72,79.75,12.17
Svoge,BG,1683487562,42.9667,23.35,23,87,62.28,0.67
Priob’ye,RU,1683487562,62.5206,65.5964,98,81,40.33,7.05
Barroso,BR,1683487563,-21.1869,-43.9758,89,74,73.58,6.44
Dudinka,RU,1683487517,69.4058,86.1778,100,96,0.64,7.07
Gebeit,SD,1683487516,21.0667,36.3167,0,28,80.89,5.68
Lucheng,CN,1683487563,31.2336,117.2806,100,63,58.01,5.12
Dabakala,CI,1683487564,8.3667,-4.4333,87,59,83.64,4.76
Rechka Vydrino,RU,1683487564,51.485,104.8461,20,80,38.73,1.57
Antalaha,MG,1683487564,-14.9003,50.2788,5,89,72.63,7.38
Dalhart,US,1683487564,36.0595,-102.5133,0,8,86.02,18.41
Crane,US,1683487565,31.3974,-102.3501,95,28,88.83,13.04
Los Angeles,US,1683486881,34.0522,-118.2437,40,59,72.59,11.5
Fort Bragg,US,1683487565,35.139,-79.006,40,47,82.45,13.8
Pitimbu,BR,1683487565,-7.4706,-34.8086,61,76,84.79,11.61
Verdal,NO,1683487506,63.7933,11.4817,95,68,53.64,2.08
Lázaro Cárdenas,MX,1683487565,17.9583,-102.2,31,46,89.64,10.65
Balabac,PH,1683487566,7.9868,117.0645,100,80,79.61,4.59
Sychëvka,RU,1683487566,55.8252,34.2736,69,63,34.59,5.01
Bāzārak,AF,1683487566,35.3129,69.5152,27,74,44.53,10.18
Montecristo,CO,1683487566,8.2971,-74.4733,100,62,91.89,0.98
Guilin,CN,1683487566,25.2819,110.2864,96,85,64.51,6.8
Soyo,AO,1683487567,-6.1349,12.3689,90,87,80.53,8.84
Port Lincoln,AU,1683487567,-34.7333,135.8667,14,61,54.63,8.16
Ermenek,TR,1683487567,36.6404,32.8918,92,86,49.48,3.62
Garoua,CM,1683487567,9.3,13.4,20,40,93.6,5.75
Pervomayskiy,RU,1683487568,53.2485,40.2871,24,58,37.63,6.76
Xilin Hot,CN,1683487568,43.9667,116.0333,43,32,48.27,8.05
Kourou,GF,1683487568,5.1552,-52.6478,100,95,80.65,15.17
Pietermaritzburg,ZA,1683487563,-29.6168,30.3928,100,96,61.07,2.53
Sechura,PE,1683487569,-5.5569,-80.8222,60,58,85.08,11.54
Kāmyārān,IR,1683487569,34.7956,46.9355,21,32,59.54,4.99
Hinton,CA,1683487569,53.4001,-117.5857,100,85,45.88,1.74
Badger,US,1683487569,64.8,-147.5333,40,53,46.65,4.61
Kyzyl-Mazhalyk,RU,1683487569,51.1333,90.6,100,53,47.44,2.57
Howard Springs,AU,1683487528,-12.497,131.047,13,76,75.11,10.69
Lasam,PH,1683487570,18.0652,121.6006,90,91,77.45,1.59
Quryq,KZ,1683487570,43.2,51.65,98,45,65.73,4.07
Bayganin,KZ,1683487570,48.6947,55.8742,24,51,59.97,14.29
Dawei,MM,1683487571,14.0833,98.2,27,88,79.3,1.57
Fale old settlement,TK,1683487571,-9.3852,-171.2468,6,76,84.29,12.57
Igarka,RU,1683487461,67.4667,86.5833,100,87,20.19,9.89
Jala,MX,1683487571,21.0833,-104.4333,4,11,99.14,6.31
Calvinia,ZA,1683487571,-31.4707,19.776,0,42,55.45,4.27
Dalandzadgad,MN,1683487572,43.5708,104.425,100,20,50.05,6.93
São Gabriel da Cachoeira,BR,1683487572,-0.1303,-67.0892,40,74,89.4,4.61
Ola,RU,1683487572,59.5833,151.2833,27,89,32.13,3.04
Lagi,VN,1683487572,10.6667,107.7833,100,85,81.91,8.63
Pujehun,SL,1683487572,7.3581,-11.7208,77,77,82.26,4.34
